ReviewID,OrderMenuID,RatingID,ReviewDate,ReviewBody
189,189,2,2023-03-01,Not great. Meal was served lukewarm and lacked seasoning.
190,190,1,2025-03-09,Poor hygiene and undercooked food. Would not recommend.
191,191,5,2023-11-09,Flawless service and delicious food. A+
192,192,3,2023-11-09,"Acceptable taste, but could be improved."
193,193,3,2023-04-02,"It was okay. Decent flavor, but not memorable."
194,194,1,2023-11-27,Worst meal Ive had in a while. Ingredients tasted stale.
195,195,2,2023-08-21,Below average. The pasta was dry and sauce too salty.
196,196,5,2024-08-18,Absolutely amazing! Every bite was perfect.
197,197,4,2023-09-23,Tasty and satisfying. Good portion size too.
198,198,3,2024-02-20,"Neutral feelings. Food was fine, not amazing."
199,199,4,2023-01-01,Enjoyed the experience. Service was fast.
200,200,5,2024-11-02,Absolutely amazing! Every bite was perfect.
201,201,2,2025-01-05,Below average. The pasta was dry and sauce too salty.
202,202,3,2023-09-15,"Some dishes were good, others were underwhelming."
203,203,4,2023-01-13,Very good! Would definitely try again.
204,204,1,2023-12-09,Worst meal Ive had in a while. Ingredients tasted stale.
205,205,1,2023-01-29,Worst meal Ive had in a while. Ingredients tasted stale.
206,206,4,2023-06-01,Enjoyed the experience. Service was fast.
207,207,5,2024-10-02,Exceptional quality and taste. Will return soon.
208,208,2,2024-02-21,Service was okay but food was a letdown.
209,209,3,2024-05-24,"Neutral feelings. Food was fine, not amazing."
210,210,3,2025-02-23,"It was okay. Decent flavor, but not memorable."
211,211,4,2023-01-20,Very good! Would definitely try again.
212,212,1,2024-12-13,Terrible experience. Food was cold and lacked flavor.
213,213,4,2023-10-24,Very good! Would definitely try again.
214,214,2,2023-05-10,"The presentation was fine, but taste didnt follow through."
215,215,4,2024-09-03,Very good! Would definitely try again.
216,216,2,2024-08-29,Service was okay but food was a letdown.
217,217,2,2023-06-01,Service was okay but food was a letdown.
218,218,2,2023-05-10,Below average. The pasta was dry and sauce too salty.
219,219,3,2025-01-06,"Some dishes were good, others were underwhelming."
220,220,3,2024-03-12,Average experience. Nothing stood out.
221,221,1,2024-10-21,Worst meal Ive had in a while. Ingredients tasted stale.
222,222,2,2024-02-24,Service was okay but food was a letdown.
223,223,3,2024-09-20,"It was okay. Decent flavor, but not memorable."
224,224,2,2024-06-06,Below average. The pasta was dry and sauce too salty.
225,225,3,2023-03-04,Average experience. Nothing stood out.
226,226,1,2023-11-19,Nothing was fresh. Left the restaurant feeling sick.
227,227,2,2024-08-14,Service was okay but food was a letdown.
228,228,5,2023-10-23,Absolutely amazing! Every bite was perfect.
229,229,1,2024-10-07,Very disappointed. The dish was bland and overcooked.
230,230,5,2024-11-04,Perfect experience. Great flavors and friendly staff.
231,231,2,2024-08-01,Not great. Meal was served lukewarm and lacked seasoning.
232,232,3,2023-10-03,Average experience. Nothing stood out.
233,233,1,2023-03-28,Very disappointed. The dish was bland and overcooked.
234,234,2,2023-03-04,"The presentation was fine, but taste didnt follow through."
235,235,5,2023-05-05,Absolutely amazing! Every bite was perfect.
236,236,1,2023-10-31,Worst meal Ive had in a while. Ingredients tasted stale.
237,237,1,2023-02-13,Very disappointed. The dish was bland and overcooked.
238,238,3,2023-02-07,"Acceptable taste, but could be improved."
239,239,4,2023-09-10,Food came out hot and delicious.
240,240,4,2023-09-19,Enjoyed the experience. Service was fast.
241,241,5,2023-10-15,Exceptional quality and taste. Will return soon.
242,242,1,2023-05-25,Worst meal Ive had in a while. Ingredients tasted stale.
243,243,5,2024-05-03,Absolutely amazing! Every bite was perfect.
244,244,5,2024-04-07,Exceptional quality and taste. Will return soon.
245,245,4,2025-03-07,Very good! Would definitely try again.
246,246,5,2025-03-14,One of the best meals Ive had. Highly recommend.
247,247,4,2023-03-02,Very good! Would definitely try again.
248,248,3,2024-09-25,"Neutral feelings. Food was fine, not amazing."
249,249,3,2023-08-09,"It was okay. Decent flavor, but not memorable."
250,250,4,2024-09-08,Enjoyed the experience. Service was fast.
251,251,3,2023-06-30,"Some dishes were good, others were underwhelming."
252,252,3,2023-05-23,"It was okay. Decent flavor, but not memorable."
253,253,2,2023-06-01,Not great. Meal was served lukewarm and lacked seasoning.
254,254,2,2023-11-08,Below average. The pasta was dry and sauce too salty.
255,255,5,2023-01-22,One of the best meals Ive had. Highly recommend.
256,256,1,2023-09-05,Very disappointed. The dish was bland and overcooked.
257,257,5,2024-03-31,Perfect experience. Great flavors and friendly staff.
258,258,5,2023-01-26,Perfect experience. Great flavors and friendly staff.
259,259,1,2023-09-12,Worst meal Ive had in a while. Ingredients tasted stale.
260,260,4,2024-05-09,Tasty and satisfying. Good portion size too.
261,261,1,2024-01-16,Worst meal Ive had in a while. Ingredients tasted stale.
262,262,4,2023-06-18,Enjoyed the experience. Service was fast.
263,263,5,2023-04-15,One of the best meals Ive had. Highly recommend.
264,264,2,2023-06-27,"The presentation was fine, but taste didnt follow through."
265,265,2,2024-08-20,Below average. The pasta was dry and sauce too salty.
266,266,2,2023-12-16,Not great. Meal was served lukewarm and lacked seasoning.
267,267,3,2023-05-10,"It was okay. Decent flavor, but not memorable."
268,268,3,2024-12-29,"Acceptable taste, but could be improved."
269,269,4,2023-03-04,Tasty and satisfying. Good portion size too.
270,270,3,2024-12-29,Average experience. Nothing stood out.
271,271,3,2025-01-07,"Some dishes were good, others were underwhelming."
272,272,1,2025-01-18,Terrible experience. Food was cold and lacked flavor.
273,273,3,2023-10-20,"It was okay. Decent flavor, but not memorable."
274,274,5,2024-04-05,Exceptional quality and taste. Will return soon.
275,275,1,2023-10-10,Very disappointed. The dish was bland and overcooked.
276,276,5,2024-02-16,Perfect experience. Great flavors and friendly staff.
277,277,2,2024-06-21,Not great. Meal was served lukewarm and lacked seasoning.
278,278,2,2024-04-19,"The presentation was fine, but taste didnt follow through."
279,279,2,2025-02-28,Could have been better. Missing key ingredients.
280,280,1,2023-12-13,Very disappointed. The dish was bland and overcooked.
281,281,1,2025-03-20,Nothing was fresh. Left the restaurant feeling sick.
282,282,2,2024-11-01,Could have been better. Missing key ingredients.
283,283,2,2024-08-28,Not great. Meal was served lukewarm and lacked seasoning.
284,284,3,2023-12-25,"Neutral feelings. Food was fine, not amazing."
285,285,4,2024-05-01,Very good! Would definitely try again.
286,286,2,2023-11-02,Below average. The pasta was dry and sauce too salty.
287,287,4,2023-01-02,Enjoyed the experience. Service was fast.
288,288,5,2024-10-29,Flawless service and delicious food. A+
289,289,2,2024-12-11,Service was okay but food was a letdown.
290,290,3,2025-02-24,"Acceptable taste, but could be improved."
291,291,3,2024-09-10,"It was okay. Decent flavor, but not memorable."
292,292,4,2025-01-03,Very good! Would definitely try again.
293,293,5,2023-12-26,Flawless service and delicious food. A+
294,294,2,2024-07-01,"The presentation was fine, but taste didnt follow through."
295,295,4,2024-07-20,Nice flavors and well-balanced seasoning.
296,296,5,2025-02-20,One of the best meals Ive had. Highly recommend.
297,297,1,2024-04-16,Terrible experience. Food was cold and lacked flavor.
298,298,3,2023-02-13,"It was okay. Decent flavor, but not memorable."
299,299,1,2024-07-05,Very disappointed. The dish was bland and overcooked.
300,300,2,2023-07-15,"The presentation was fine, but taste didnt follow through."
301,301,5,2024-09-01,Absolutely amazing! Every bite was perfect.
302,302,2,2024-11-05,Below average. The pasta was dry and sauce too salty.
303,303,3,2024-05-24,"Acceptable taste, but could be improved."
304,304,1,2023-11-10,Terrible experience. Food was cold and lacked flavor.
305,305,1,2024-07-07,Nothing was fresh. Left the restaurant feeling sick.
306,306,4,2023-01-23,Food came out hot and delicious.
307,307,4,2024-06-15,Food came out hot and delicious.
308,308,3,2023-10-11,"Neutral feelings. Food was fine, not amazing."
309,309,4,2023-10-27,Enjoyed the experience. Service was fast.
310,310,5,2025-01-04,One of the best meals Ive had. Highly recommend.
311,311,1,2023-09-02,Poor hygiene and undercooked food. Would not recommend.
312,312,4,2024-01-11,Nice flavors and well-balanced seasoning.
313,313,4,2023-03-28,Food came out hot and delicious.
314,314,1,2025-03-17,Poor hygiene and undercooked food. Would not recommend.
315,315,1,2025-01-18,Very disappointed. The dish was bland and overcooked.
316,316,2,2023-01-14,Service was okay but food was a letdown.
317,317,3,2024-02-13,"Acceptable taste, but could be improved."
318,318,5,2024-04-08,Exceptional quality and taste. Will return soon.
319,319,3,2024-08-30,"Neutral feelings. Food was fine, not amazing."
320,320,2,2024-06-24,"The presentation was fine, but taste didnt follow through."
321,321,1,2024-05-23,Terrible experience. Food was cold and lacked flavor.
322,322,2,2024-09-21,Not great. Meal was served lukewarm and lacked seasoning.
323,323,5,2023-10-06,Flawless service and delicious food. A+
324,324,5,2023-01-11,Perfect experience. Great flavors and friendly staff.
325,325,5,2024-06-05,One of the best meals Ive had. Highly recommend.
326,326,2,2024-05-04,Below average. The pasta was dry and sauce too salty.
327,327,3,2023-06-24,"Acceptable taste, but could be improved."
328,328,3,2024-08-22,Average experience. Nothing stood out.
329,329,1,2023-05-18,Nothing was fresh. Left the restaurant feeling sick.
330,330,1,2025-03-08,Worst meal Ive had in a while. Ingredients tasted stale.
331,331,3,2023-03-04,"Neutral feelings. Food was fine, not amazing."
332,332,4,2024-03-23,Tasty and satisfying. Good portion size too.
333,333,2,2025-04-06,Below average. The pasta was dry and sauce too salty.
334,334,4,2023-04-21,Enjoyed the experience. Service was fast.
335,335,4,2024-04-21,Tasty and satisfying. Good portion size too.
336,336,2,2024-07-05,Service was okay but food was a letdown.
337,337,3,2024-03-30,Average experience. Nothing stood out.
338,338,5,2024-03-28,Flawless service and delicious food. A+
339,339,3,2023-02-21,Average experience. Nothing stood out.
340,340,5,2023-03-20,Exceptional quality and taste. Will return soon.
341,341,2,2024-12-09,Below average. The pasta was dry and sauce too salty.
342,342,1,2024-03-05,Nothing was fresh. Left the restaurant feeling sick.
343,343,3,2023-06-04,"Some dishes were good, others were underwhelming."
344,344,1,2023-07-04,Nothing was fresh. Left the restaurant feeling sick.
345,345,5,2023-01-14,Perfect experience. Great flavors and friendly staff.
346,346,3,2023-08-29,"It was okay. Decent flavor, but not memorable."
347,347,1,2023-06-25,Nothing was fresh. Left the restaurant feeling sick.
348,348,5,2023-09-09,Flawless service and delicious food. A+
349,349,5,2024-10-19,Perfect experience. Great flavors and friendly staff.
350,350,3,2024-06-03,"Neutral feelings. Food was fine, not amazing."
351,351,4,2023-05-28,Enjoyed the experience. Service was fast.
352,352,1,2024-09-23,Very disappointed. The dish was bland and overcooked.
353,353,1,2024-03-01,Poor hygiene and undercooked food. Would not recommend.
354,354,4,2024-01-29,Food came out hot and delicious.
355,355,3,2024-04-13,"Some dishes were good, others were underwhelming."
356,356,3,2024-02-28,"Acceptable taste, but could be improved."
357,357,2,2023-10-18,Could have been better. Missing key ingredients.
358,358,1,2023-11-06,Worst meal Ive had in a while. Ingredients tasted stale.
359,359,3,2024-10-25,"Some dishes were good, others were underwhelming."
360,360,5,2025-04-12,Exceptional quality and taste. Will return soon.
361,361,2,2024-09-20,Service was okay but food was a letdown.
362,362,4,2023-07-08,Very good! Would definitely try again.
363,363,3,2024-11-20,"Neutral feelings. Food was fine, not amazing."
364,364,1,2024-05-01,Terrible experience. Food was cold and lacked flavor.
365,365,1,2023-10-07,Nothing was fresh. Left the restaurant feeling sick.
366,366,4,2025-01-03,Tasty and satisfying. Good portion size too.
367,367,3,2024-01-24,"Acceptable taste, but could be improved."
368,368,1,2024-12-11,Very disappointed. The dish was bland and overcooked.
369,369,4,2023-11-29,Tasty and satisfying. Good portion size too.
370,370,3,2023-02-01,"Some dishes were good, others were underwhelming."
371,371,3,2023-12-29,"Acceptable taste, but could be improved."
372,372,5,2025-02-14,Absolutely amazing! Every bite was perfect.
373,373,5,2024-03-24,Exceptional quality and taste. Will return soon.
374,374,3,2024-05-29,"Some dishes were good, others were underwhelming."
375,375,1,2025-01-13,Worst meal Ive had in a while. Ingredients tasted stale.
376,376,1,2024-03-08,Poor hygiene and undercooked food. Would not recommend.
377,377,1,2025-01-29,Nothing was fresh. Left the restaurant feeling sick.
378,378,3,2023-11-29,"It was okay. Decent flavor, but not memorable."
379,379,3,2024-07-17,"Neutral feelings. Food was fine, not amazing."
380,380,5,2025-04-05,Perfect experience. Great flavors and friendly staff.
381,381,4,2024-07-19,Enjoyed the experience. Service was fast.
382,382,3,2023-08-14,"It was okay. Decent flavor, but not memorable."
383,383,3,2023-10-03,"Neutral feelings. Food was fine, not amazing."
384,384,4,2024-06-22,Very good! Would definitely try again.
385,385,5,2025-02-21,Perfect experience. Great flavors and friendly staff.
386,386,1,2025-04-08,Very disappointed. The dish was bland and overcooked.
387,387,4,2023-09-21,Tasty and satisfying. Good portion size too.
388,388,5,2023-11-13,Flawless service and delicious food. A+
389,389,1,2023-07-02,Worst meal Ive had in a while. Ingredients tasted stale.
390,390,2,2024-04-02,Could have been better. Missing key ingredients.
391,391,3,2025-01-06,"It was okay. Decent flavor, but not memorable."
392,392,3,2024-11-20,"It was okay. Decent flavor, but not memorable."
393,393,4,2025-02-08,Tasty and satisfying. Good portion size too.
394,394,4,2023-06-01,Nice flavors and well-balanced seasoning.
395,395,2,2025-01-12,Below average. The pasta was dry and sauce too salty.
396,396,2,2023-08-30,Service was okay but food was a letdown.
397,397,1,2024-01-14,Worst meal Ive had in a while. Ingredients tasted stale.
398,398,2,2023-03-29,Could have been better. Missing key ingredients.
399,399,4,2023-12-25,Tasty and satisfying. Good portion size too.
400,400,2,2023-09-16,Below average. The pasta was dry and sauce too salty.
401,401,3,2024-12-29,"Some dishes were good, others were underwhelming."
402,402,4,2024-11-26,Enjoyed the experience. Service was fast.
403,403,5,2024-07-19,One of the best meals Ive had. Highly recommend.
404,404,4,2023-01-10,Enjoyed the experience. Service was fast.
405,405,5,2024-02-11,Perfect experience. Great flavors and friendly staff.
406,406,1,2024-02-24,Very disappointed. The dish was bland and overcooked.
407,407,4,2024-02-16,Very good! Would definitely try again.
408,408,1,2023-05-13,Poor hygiene and undercooked food. Would not recommend.
409,409,1,2023-12-08,Terrible experience. Food was cold and lacked flavor.
410,410,5,2023-04-18,Exceptional quality and taste. Will return soon.
411,411,5,2023-11-25,Exceptional quality and taste. Will return soon.
412,412,2,2024-10-25,"The presentation was fine, but taste didnt follow through."
413,413,3,2023-09-24,"Acceptable taste, but could be improved."
414,414,2,2024-06-29,Not great. Meal was served lukewarm and lacked seasoning.
415,415,4,2024-01-20,Food came out hot and delicious.
416,416,3,2024-03-20,"It was okay. Decent flavor, but not memorable."
417,417,5,2024-10-21,One of the best meals Ive had. Highly recommend.
418,418,5,2023-02-07,Flawless service and delicious food. A+
419,419,1,2023-08-13,Very disappointed. The dish was bland and overcooked.
420,420,4,2023-10-31,Very good! Would definitely try again.
421,421,1,2024-10-28,Terrible experience. Food was cold and lacked flavor.
422,422,4,2023-02-18,Very good! Would definitely try again.
423,423,5,2023-10-19,Perfect experience. Great flavors and friendly staff.
424,424,2,2024-07-23,Service was okay but food was a letdown.
425,425,2,2025-04-04,Not great. Meal was served lukewarm and lacked seasoning.
426,426,2,2023-01-27,"The presentation was fine, but taste didnt follow through."
427,427,5,2023-06-01,Perfect experience. Great flavors and friendly staff.
428,428,4,2024-10-16,Tasty and satisfying. Good portion size too.
429,429,5,2023-03-21,Exceptional quality and taste. Will return soon.
430,430,2,2023-07-29,Below average. The pasta was dry and sauce too salty.
431,431,1,2024-01-15,Worst meal Ive had in a while. Ingredients tasted stale.
432,432,5,2023-08-31,Exceptional quality and taste. Will return soon.
433,433,1,2023-02-07,Nothing was fresh. Left the restaurant feeling sick.
434,434,5,2024-12-13,Absolutely amazing! Every bite was perfect.
435,435,3,2023-03-24,"It was okay. Decent flavor, but not memorable."
436,436,2,2024-12-16,"The presentation was fine, but taste didnt follow through."
437,437,5,2024-06-18,Perfect experience. Great flavors and friendly staff.
438,438,4,2024-11-08,Tasty and satisfying. Good portion size too.
